year,month,SPEI9
1986,4,-1.408318385
1986,5,-2.025819111
1986,6,-1.256276342
1986,7,-0.901663835
1986,8,-1.278061674
1986,9,-1.215634222
1986,10,-1.247078154
1986,11,-0.960273729
1986,12,-0.896654283
1987,1,-1.124476834
1987,2,-0.892057161
1987,3,-0.996674551
1987,4,-0.511699935
1987,5,-0.411412133
1987,6,-1.069268463
1987,7,0.237752348
1987,8,-0.133184697
1987,9,-0.112508145
1987,10,-0.452023876
1987,11,-0.443137992
1987,12,-0.397038154
1988,1,-0.67523153
1988,2,-0.293916517
1988,3,0.537829683
1988,4,-0.494531062
1988,5,-0.272688593
1988,6,0.661176575
1988,7,1.086669313
1988,8,1.088754549
1988,9,1.086134624
1988,10,0.742224719
1988,11,0.786380577
1988,12,0.716279136
1989,1,0.768779171
1989,2,0.424345483
1989,3,-0.208538175
1989,4,-0.041893895
1989,5,-0.656924762
1989,6,-0.979357332
1989,7,-0.988527159
1989,8,-1.488949768
1989,9,-1.476998232
1989,10,-1.109445187
1989,11,-1.16084998
1989,12,-1.127507217
1990,1,-1.361770785
1990,2,-1.081143352
1990,3,-0.624341512
1990,4,-0.067190927
1990,5,1.189612802
1990,6,1.00513569
1990,7,0.308002612
1990,8,-0.057469424
1990,9,-0.205364608
1990,10,-0.446564546
1990,11,-0.453474157
1990,12,-0.604528161
1991,1,-0.836027892
1991,2,-0.942980437
1991,3,-0.870815301
1991,4,-0.684040961
1991,5,0.0049446
1991,6,0.900817797
1991,7,0.793710294
1991,8,0.381474244
1991,9,0.245022241
1991,10,0.463439011
1991,11,0.446283538
1991,12,0.558313525
1992,1,0.345037771
1992,2,0.516507267
1992,3,0.063531623
1992,4,0.204184964
1992,5,0.233310571
1992,6,-0.514539553
1992,7,-0.76438326
1992,8,-0.900380156
1992,9,-0.592431278
1992,10,-0.619065036
1992,11,-0.877406478
1992,12,-0.798681305
1993,1,-0.681507344
1993,2,-0.513450942
1993,3,0.574489778
1993,4,0.474974039
1993,5,-0.148638195
1993,6,-1.954585899
1993,7,-2.558907806
1993,8,-2.456178111
1993,9,-2.6491397
1993,10,-2.649401318
1993,11,-2.70936287
1993,12,-2.778328877
1994,1,-3.151514654
1994,2,-3.700585535
1994,3,-3.499075099
1994,4,-2.865263566
1994,5,-2.147781657
1994,6,-0.832716538
1994,7,-0.869311639
1994,8,-1.085630176
