year,month,SPEI12
1966,1,NA
1966,2,NA
1966,3,NA
1966,4,NA
1966,5,NA
1966,6,NA
1966,7,NA
1966,8,NA
1966,9,NA
1966,10,NA
1966,11,NA
1966,12,-0.401292877
1967,1,-0.430416698
1967,2,-0.430933863
1967,3,-0.320481509
1967,4,-0.16190752
1967,5,-0.106179104
1967,6,-0.611398834
1967,7,-0.33513003
1967,8,-0.641435907
1967,9,-0.248067217
1967,10,-0.75079661
1967,11,-0.767557558
1967,12,-0.893366358
1968,1,-0.993210667
1968,2,-0.99028275
1968,3,-1.000788718
1968,4,-0.955942999
1968,5,-0.801427394
1968,6,0.232000311
1968,7,0.773366433
1968,8,0.156795027
1968,9,-0.658961984
1968,10,-0.457907263
1968,11,-0.423555739
1968,12,-0.409833573
1969,1,-0.450657304
1969,2,-0.487889498
1969,3,-0.515405853
1969,4,-0.376429335
1969,5,-0.423303542
1969,6,-1.182390789
1969,7,-1.395500025
1969,8,-0.702207923
1969,9,-0.208399357
1969,10,-0.223515141
1969,11,-0.244965039
1969,12,-0.238258108
1970,1,-0.253217611
1970,2,-0.115132607
1970,3,-0.237074732
1970,4,-0.420992941
1970,5,-0.291166848
1970,6,-0.26621207
1970,7,-0.614107108
1970,8,-1.073977108
1970,9,-1.047729089
1970,10,-0.583035927
1970,11,-0.480661673
1970,12,-0.439295266
1971,1,-0.479529819
1971,2,-0.589586448
1971,3,-0.566832779
1971,4,-0.463566577
1971,5,-0.214101987
1971,6,-0.098049422
1971,7,0.203920084
1971,8,1.216975277
1971,9,0.998456008
1971,10,0.572717725
1971,11,0.668395606
1971,12,0.722853772
1972,1,0.738384234
1972,2,0.743932168
1972,3,0.765277034
1972,4,0.753504
1972,5,0.738312422
1972,6,0.717369422
1972,7,0.492026566
1972,8,-0.323195654
1972,9,-0.39850483
1972,10,-0.39976952
1972,11,-0.437457946
1972,12,-0.453345208
1973,1,-0.494943348
1973,2,-0.501539338
1973,3,-0.514519157
1973,4,-0.488590329
1973,5,-0.213702995
1973,6,-0.630572247
1973,7,-1.281596804
1973,8,-1.489258392
1973,9,-1.447408843
1973,10,-1.479943763
1973,11,-1.211239565
1973,12,-1.144648503
1974,1,-1.256062204
1974,2,-1.286284903
1974,3,-0.967426413
1974,4,-1.024706467
1974,5,-1.170399438
1974,6,-0.970822306
1974,7,-0.131229771
1974,8,-0.047331478
