year,month,SPEI6
1966,1,NA
1966,2,NA
1966,3,NA
1966,4,NA
1966,5,NA
1966,6,-0.832968074
1966,7,-1.414885882
1966,8,-0.767536839
1966,9,-0.558482647
1966,10,-0.277300452
1966,11,0.017100404
1966,12,0.168510752
1967,1,1.172823221
1967,2,0.559396366
1967,3,0.750440134
1967,4,0.371902295
1967,5,-0.297178398
1967,6,-1.291318952
1967,7,-1.286813049
1967,8,-0.988935056
1967,9,-0.482758426
1967,10,-0.816609992
1967,11,-0.635583296
1967,12,-0.222723635
1968,1,0.075004594
1968,2,-0.245025156
1968,3,-1.958680268
1968,4,-0.092884173
1968,5,-0.34649844
1968,6,0.930525586
1968,7,1.160873471
1968,8,0.356544951
1968,9,-0.186247883
1968,10,-0.421177349
1968,11,-0.238534648
1968,12,-0.921567412
1969,1,-1.730386906
1969,2,-1.777259266
1969,3,-1.102709066
1969,4,0.231550324
1969,5,-0.487312149
1969,6,-0.714383864
1969,7,-0.628530451
1969,8,-0.002276643
1969,9,0.158033775
1969,10,-0.26383331
1969,11,-0.003235715
1969,12,0.299504514
1970,1,0.396531397
1970,2,-0.308560333
1970,3,-1.285021561
1970,4,-0.604477736
1970,5,-0.861348022
1970,6,-0.813877326
1970,7,-1.047743667
1970,8,-1.135934032
1970,9,-0.82859677
1970,10,-0.439008807
1970,11,-0.157480108
1970,12,0.108309982
1971,1,0.592140982
1971,2,1.085583624
1971,3,0.92340873
1971,4,0.004023937
1971,5,-0.072629732
1971,6,-0.158781207
1971,7,-0.125661375
1971,8,0.923041655
1971,9,0.800813041
1971,10,0.616322316
1971,11,0.796664141
1971,12,1.026884283
1972,1,1.220381703
1972,2,0.090443052
1972,3,0.146093287
1972,4,0.312741855
1972,5,0.031035184
1972,6,-0.122931566
1972,7,-0.374094622
1972,8,-0.440183103
1972,9,-0.433023217
1972,10,-0.459844021
1972,11,-0.36522918
1972,12,-0.321507402
1973,1,-0.299266628
1973,2,-0.343906562
1973,3,-0.185903054
1973,4,0.004023937
1973,5,0.55397947
1973,6,-0.528231231
1973,7,-1.503057965
1973,8,-1.561391611
1973,9,-1.471819943
1973,10,-1.462772764
1973,11,-1.347942798
1973,12,-1.025382075
1974,1,-0.074511818
1974,2,0.786383567
1974,3,1.806292835
1974,4,2.154502023
1974,5,1.042370061
1974,6,-0.008476403
1974,7,0.010497497
1974,8,-0.477370901
