year,month,SPEI3
1966,1,NA
1966,2,NA
1966,3,-0.503377548
1966,4,-1.129990581
1966,5,-1.614605926
1966,6,-0.626804394
1966,7,-1.169763532
1966,8,-0.200255158
1966,9,-0.113405478
1966,10,1.086335722
1966,11,0.309813651
1966,12,0.62255417
1967,1,0.69001413
1967,2,1.284638876
1967,3,0.554685609
1967,4,0.182909583
1967,5,-0.684407863
1967,6,-1.256413115
1967,7,-1.282190351
1967,8,-0.783946525
1967,9,0.527051536
1967,10,0.283349944
1967,11,-0.117542599
1967,12,-2.032348379
1968,1,-0.904335042
1968,2,-0.372932728
1968,3,0.709953377
1968,4,0.461508682
1968,5,-0.168539637
1968,6,0.773506216
1968,7,1.054590532
1968,8,0.585894944
1968,9,-0.67213235
1968,10,-1.455671638
1968,11,-1.51276231
1968,12,-1.165898026
1969,1,-0.630345373
1969,2,-0.91190641
1969,3,0.401006615
1969,4,0.727734446
1969,5,-0.190366176
1969,6,-0.702271252
1969,7,-0.805878204
1969,8,0.200866473
1969,9,0.921795992
1969,10,0.621842722
1969,11,-0.409620967
1969,12,-1.430082512
1970,1,-1.148493789
1970,2,0.783222919
1970,3,0.604612134
1970,4,-0.055476318
1970,5,-1.043175951
1970,6,-0.845217404
1970,7,-1.004273307
1970,8,-0.869895879
1970,9,-0.356200677
1970,10,0.589970687
1970,11,1.1313274
1970,12,0.970902134
1971,1,0.264627956
1971,2,-0.030435507
1971,3,0.136035336
1971,4,-0.009670798
1971,5,0.023033985
1971,6,-0.132114466
1971,7,-0.108249724
1971,8,1.091458488
1971,9,1.20793733
1971,10,1.105920855
1971,11,0.074441306
1971,12,0.144779701
1972,1,0.812588819
1972,2,0.371190102
1972,3,0.133232186
1972,4,-0.01141878
1972,5,0.023033985
1972,6,-0.098384687
1972,7,-0.354736581
1972,8,-0.376372228
1972,9,-0.332156356
1972,10,-0.266374613
1972,11,-0.27071515
1972,12,-0.189326575
1973,1,0.264627956
1973,2,-0.030435507
1973,3,0.136035336
1973,4,-0.009670798
1973,5,0.642352459
1973,6,-0.471049052
1973,7,-1.451826062
1973,8,-1.754486895
1973,9,-1.54214099
1973,10,-0.99879941
1973,11,0.629292261
1973,12,1.259284551
1974,1,2.319464042
1974,2,1.013448794
1974,3,1.858937336
1974,4,1.218857525
1974,5,0.903741781
1974,6,-0.710043851
1974,7,-0.404675037
